timestamp,seller,buyer,item,price,quantity
2026-01-06T15:15:24.106961,Young_Silas,Wealthy_Landowner,Wood,0.5,40
2026-01-06T15:15:27.160059,Generous_Gina,Poor_Carpenter_Dan,Wood,20.0,30
2026-01-06T15:16:02.013412,Old_Tom,Market_Bot_X,Wood,2.5,50
2026-01-06T15:16:13.482626,Greedy_Gus,Scalper_Sam,Wood,10000.0,20
2026-01-06T15:16:52.783235,Panic_Paul,Generous_Gina,Wood,5.0,10
2026-01-06T15:17:10.862888,Newbie_Ned,Village_Mayor,Wood,3.0,5
2026-01-06T15:17:52.402665,The_Hermit,Generous_Gina,Wood,1.0,100
2026-01-06T15:18:02.377360,Newbie_Ned,City_Builder_Mark,Wood,6.0,5
2026-01-06T15:18:20.560980,Old_Widow_May,Furniture_Maker_Ann,Wood,1.0,60
2026-01-06T15:19:54.532171,Generous_Gina,Furniture_Maker_Ann,Wood,1.15,10
2026-01-06T15:20:27.411677,Scalper_Sam,Wealthy_Landowner,Wood,400000.0,20
2026-01-06T15:20:46.321609,Generous_Gina,Newbie_Ned,Wood,0.5,30
2026-01-06T15:21:13.460982,Old_Widow_May,Furniture_Maker_Ann,Wood,1.0,20
2026-01-06T15:21:52.141225,Forest_Ranger_Ben,Wealthy_Landowner,Wood,0.83,60
2026-01-06T15:22:10.020381,Newbie_Ned,Rational_Rita,Wood,8.0,5
2026-01-06T15:22:20.003710,Generous_Gina,Scalper_Sam,Wood,0.7,70
2026-01-06T15:23:13.720432,Market_Bot_X,City_Builder_Mark,Wood,3.0,70
2026-01-06T15:23:40.650312,Newbie_Ned,City_Builder_Mark,Wood,6.7,5
2026-01-06T15:27:32.810751,Rational_Rita,Furniture_Maker_Ann,Wood,10.5,10
